parameter,step,mean,std,maximum,minimum,abs_mean,abs_std,abs_maximum,abs_minimum
gpt_neox.layers.3.input_layernorm.bias,142000,0.2567211,0.41176686,1.4902344,-1.0175781,0.39037913,0.28791073,1.4902344,0.0005493164
gpt_neox.layers.3.input_layernorm.bias,143000,0.25732496,0.41279113,1.4921875,-1.0175781,0.3913597,0.28858298,1.4921875,0.0013961792
gpt_neox.layers.3.post_attention_layernorm.weight,142000,1.2840996,0.14913695,2.1289062,0.6328125,1.2840996,0.14913695,2.1289062,0.6328125
gpt_neox.layers.3.post_attention_layernorm.weight,143000,1.2857428,0.14918101,2.1289062,0.6328125,1.2857428,0.14918101,2.1289062,0.6328125
gpt_neox.layers.3.post_attention_layernorm.bias,142000,0.025740175,0.2111927,1.0322266,-1.4033203,0.1525036,0.14820036,1.4033203,0.00019288063
gpt_neox.layers.3.post_attention_layernorm.bias,143000,0.025850074,0.21156205,1.0341797,-1.4033203,0.15288018,0.1483575,1.4033203,0.0005249977
gpt_neox.layers.3.attention.query_key_value.weight,142000,-0.0002178108,0.09851262,1.8769531,-1.7548828,0.04108705,0.08953567,1.8769531,1.1920929e-07
gpt_neox.layers.3.attention.query_key_value.weight,143000,-0.00021520369,0.09818238,1.8681641,-1.7480469,0.040970754,0.08922568,1.8681641,0.0
gpt_neox.layers.3.attention.query_key_value.bias,142000,-0.016212394,19.992111,65.75,-64.75,8.2810335,18.19518,65.75,4.0471554e-05
gpt_neox.layers.3.attention.query_key_value.bias,143000,-0.015777608,20.014263,65.8125,-64.8125,8.291199,18.21489,65.8125,0.00010359287
gpt_neox.layers.3.attention.dense.weight,142000,3.9626866e-06,0.036468226,0.35986328,-0.31933594,0.026429754,0.025127616,0.35986328,5.9604645e-08
gpt_neox.layers.3.attention.dense.weight,143000,4.208614e-06,0.036342666,0.35766602,-0.3173828,0.026329802,0.025050512,0.35766602,2.9802322e-07
gpt_neox.layers.3.attention.dense.bias,142000,5.6058867e-05,0.07460915,0.8071289,-0.45336914,0.04822536,0.05688842,0.8071289,3.838539e-05
gpt_neox.layers.3.attention.dense.bias,143000,5.6269346e-05,0.074571595,0.8066406,-0.45288086,0.048202462,0.056858614,0.8066406,2.2768974e-05
gpt_neox.layers.3.mlp.dense_h_to_4h.weight,142000,-2.2069034e-06,0.030276002,0.22473145,-0.22155762,0.02378751,0.018729392,0.22473145,0.0
gpt_neox.layers.3.mlp.dense_h_to_4h.weight,143000,-3.3766519e-06,0.030181717,0.22155762,-0.22216797,0.023714375,0.018669866,0.22216797,0.0
gpt_neox.layers.3.mlp.dense_h_to_4h.bias,142000,-0.10499093,0.16154662,0.43139648,-1.0449219,0.14095171,0.1313343,1.0449219,1.2993813e-05
gpt_neox.layers.3.mlp.dense_h_to_4h.bias,143000,-0.105013125,0.16173634,0.43188477,-1.0439453,0.14106242,0.13146657,1.0439453,7.480383e-05
gpt_neox.layers.3.mlp.dense_4h_to_h.weight,142000,1.36481285e-05,0.027239364,0.47827148,-0.5078125,0.021066107,0.01726852,0.5078125,0.0
gpt_neox.layers.3.mlp.dense_4h_to_h.weight,143000,1.4701933e-05,0.027145645,0.4765625,-0.5078125,0.020994794,0.017207684,0.5078125,0.0
gpt_neox.layers.3.mlp.dense_4h_to_h.bias,142000,5.6058867e-05,0.07460915,0.8071289,-0.45336914,0.04822536,0.05688842,0.8071289,3.838539e-05
gpt_neox.layers.3.mlp.dense_4h_to_h.bias,143000,5.6269346e-05,0.074571595,0.8066406,-0.45288086,0.048202462,0.056858614,0.8066406,2.2768974e-05
gpt_neox.layers.4.input_layernorm.weight,142000,2.3564816,0.8840887,5.8828125,0.65234375,2.3564816,0.8840887,5.8828125,0.65234375
gpt_neox.layers.4.input_layernorm.weight,143000,2.3589678,0.8856436,5.890625,0.65234375,2.3589678,0.8856436,5.890625,0.65234375
gpt_neox.layers.4.input_layernorm.bias,142000,0.4243105,0.62270033,2.1953125,-1.9990234,0.616362,0.43301496,2.1953125,0.0022506714
gpt_neox.layers.4.input_layernorm.bias,143000,0.4267037,0.6251843,2.203125,-2.0078125,0.6192512,0.4348163,2.203125,0.0033683777
gpt_neox.layers.4.post_attention_layernorm.weight,142000,1.494937,0.16568634,2.7285156,0.75439453,1.494937,0.16568634,2.7285156,0.75439453
gpt_neox.layers.4.post_attention_layernorm.weight,143000,1.4967213,0.16578813,2.7304688,0.7548828,1.4967213,0.16578813,2.7304688,0.7548828
gpt_neox.layers.4.post_attention_layernorm.bias,142000,0.026327517,0.28039345,0.8925781,-1.515625,0.2246685,0.16952956,1.515625,0.00031256676
gpt_neox.layers.4.post_attention_layernorm.bias,143000,0.026447883,0.2811391,0.89453125,-1.515625,0.22532412,0.16991097,1.515625,0.00024676323
gpt_neox.layers.4.attention.query_key_value.weight,142000,-0.00038525593,0.21767552,2.6445312,-2.6542969,0.09119627,0.19765124,2.6542969,0.0
gpt_neox.layers.4.attention.query_key_value.weight,143000,-0.00038523087,0.21734618,2.6445312,-2.6464844,0.091044724,0.19735844,2.6464844,0.0
gpt_neox.layers.4.attention.query_key_value.bias,142000,0.5100761,21.110346,60.9375,-61.34375,10.373673,18.390863,61.34375,1.3291836e-05
gpt_neox.layers.4.attention.query_key_value.bias,143000,0.51116395,21.143475,61.0,-61.40625,10.390891,18.4192,61.40625,9.173155e-05
gpt_neox.layers.4.attention.dense.weight,142000,-1.7621485e-05,0.015976476,0.14331055,-0.14013672,0.012535444,0.009905055,0.14331055,5.9604645e-08
gpt_neox.layers.4.attention.dense.weight,143000,-1.8003448e-05,0.0159586,0.13989258,-0.13916016,0.012523934,0.009890788,0.13989258,5.9604645e-08
gpt_neox.layers.4.attention.dense.bias,142000,-0.0005889457,0.09866528,1.3134766,-0.8305664,0.0606404,0.077786446,1.3134766,9.655952e-06
gpt_neox.layers.4.attention.dense.bias,143000,-0.0005989745,0.09847111,1.3105469,-0.82910156,0.060527842,0.07762815,1.3105469,2.9027462e-05
gpt_neox.layers.4.mlp.dense_h_to_4h.weight,142000,0.0002529453,0.029197434,0.3005371,-0.3071289,0.022964418,0.018033003,0.3071289,1.1920929e-07
gpt_neox.layers.4.mlp.dense_h_to_4h.weight,143000,0.00025073902,0.029112177,0.2998047,-0.30786133,0.022897378,0.017980302,0.30786133,0.0
gpt_neox.layers.4.mlp.dense_h_to_4h.bias,142000,-0.09982381,0.15345283,0.9145508,-1.0019531,0.13804506,0.12021515,1.0019531,0.00010341406
gpt_neox.layers.4.mlp.dense_h_to_4h.bias,143000,-0.09979288,0.153622,0.91748047,-1.0019531,0.1381101,0.12033072,1.0019531,2.8371811e-05
gpt_neox.layers.4.mlp.dense_4h_to_h.weight,142000,1.1349566e-05,0.031072361,0.67626953,-0.86376953,0.02385564,0.019909788,0.86376953,5.9604645e-08
gpt_neox.layers.4.mlp.dense_4h_to_h.weight,143000,1.2718841e-05,0.030958015,0.6738281,-0.85839844,0.023771487,0.019832164,0.85839844,0.0
gpt_neox.layers.4.mlp.dense_4h_to_h.bias,142000,-0.0005889457,0.09866528,1.3134766,-0.8305664,0.0606404,0.077786446,1.3134766,9.655952e-06
gpt_neox.layers.4.mlp.dense_4h_to_h.bias,143000,-0.0005989745,0.09847111,1.3105469,-0.82910156,0.060527842,0.07762815,1.3105469,2.9027462e-05
gpt_neox.layers.5.input_layernorm.weight,142000,2.113699,1.9654315,22.9375,0.60058594,2.113699,1.9654315,22.9375,0.60058594
gpt_neox.layers.5.input_layernorm.weight,143000,2.1179104,1.9697833,22.984375,0.6015625,2.1179104,1.9697833,22.984375,0.6015625
gpt_neox.layers.5.input_layernorm.bias,142000,0.13099977,0.38684756,2.9511719,-2.0566406,0.27059948,0.30574203,2.9511719,3.9219856e-05
gpt_neox.layers.5.input_layernorm.bias,143000,0.13156831,0.3876796,2.9570312,-2.0625,0.27129483,0.30642235,2.9570312,7.349253e-05
gpt_neox.layers.5.post_attention_layernorm.weight,142000,1.5718718,0.1675563,2.4296875,0.9692383,1.5718718,0.1675563,2.4296875,0.9692383
gpt_neox.layers.5.post_attention_layernorm.weight,143000,1.5742159,0.16762435,2.4316406,0.97021484,1.5742159,0.16762435,2.4316406,0.97021484
gpt_neox.layers.5.post_attention_layernorm.bias,142000,0.09039554,0.25323662,0.8100586,-0.6748047,0.22136082,0.15237992,0.8100586,0.0012168884
gpt_neox.layers.5.post_attention_layernorm.bias,143000,0.09082312,0.25352427,0.81103516,-0.67529297,0.22174636,0.15255117,0.81103516,0.0007824898
gpt_neox.layers.5.attention.query_key_value.weight,142000,-0.00040035218,0.14436695,1.9130859,-2.0078125,0.07247266,0.12485866,2.0078125,0.0
gpt_neox.layers.5.attention.query_key_value.weight,143000,-0.00040028023,0.1442111,1.90625,-2.0058594,0.07237507,0.124735095,2.0058594,5.9604645e-08
gpt_neox.layers.5.attention.query_key_value.bias,142000,-0.46769533,27.239685,62.375,-62.46875,13.83638,23.465918,62.46875,5.9604645e-06
gpt_neox.layers.5.attention.query_key_value.bias,143000,-0.46834055,27.265213,62.40625,-62.53125,13.8495245,23.487806,62.53125,9.697676e-05
gpt_neox.layers.5.attention.dense.weight,142000,5.857595e-06,0.016205484,0.091552734,-0.08325195,0.0128121525,0.009922996,0.091552734,0.0
gpt_neox.layers.5.attention.dense.weight,143000,5.9445156e-06,0.016148798,0.0904541,-0.08331299,0.0127684325,0.009886873,0.0904541,5.9604645e-08
gpt_neox.layers.5.attention.dense.bias,142000,-0.0008798856,0.08345324,0.47802734,-0.28442383,0.06311536,0.054533243,0.47802734,0.0006284714
gpt_neox.layers.5.attention.dense.bias,143000,-0.00088034756,0.08347063,0.4777832,-0.2841797,0.06314772,0.054522328,0.4777832,0.00047445297
gpt_neox.layers.5.mlp.dense_h_to_4h.weight,142000,0.00030840345,0.02905365,0.5253906,-0.33789062,0.022665666,0.018179022,0.5253906,0.0
gpt_neox.layers.5.mlp.dense_h_to_4h.weight,143000,0.0003076864,0.02897346,0.5253906,-0.3383789,0.022600591,0.018131986,0.5253906,5.9604645e-08
gpt_neox.layers.5.mlp.dense_h_to_4h.bias,142000,-0.06500648,0.16065077,0.9135742,-0.7133789,0.13706024,0.10602779,0.9135742,8.8214874e-05
gpt_neox.layers.5.mlp.dense_h_to_4h.bias,143000,-0.06499964,0.16069952,0.9145508,-0.7133789,0.13707907,0.10607308,0.9145508,0.0001757145
gpt_neox.layers.5.mlp.dense_4h_to_h.weight,142000,-1.9423303e-05,0.035834916,0.9033203,-0.60839844,0.02794472,0.022432866,0.9033203,5.9604645e-08
gpt_neox.layers.5.mlp.dense_4h_to_h.weight,143000,-1.9097602e-05,0.035712622,0.89746094,-0.60791016,0.027851935,0.022353092,0.89746094,1.1920929e-07
gpt_neox.layers.5.mlp.dense_4h_to_h.bias,142000,-0.0008798856,0.08345324,0.47802734,-0.28442383,0.06311536,0.054533243,0.47802734,0.0006284714
gpt_neox.layers.5.mlp.dense_4h_to_h.bias,143000,-0.00088034756,0.08347063,0.4777832,-0.2841797,0.06314772,0.054522328,0.4777832,0.00047445297
gpt_neox.final_layer_norm.weight,142000,11.3064575,1.764333,19.890625,7.6523438,11.3064575,1.764333,19.890625,7.6523438
gpt_neox.final_layer_norm.weight,143000,11.400459,1.7685556,20.0,7.7109375,11.400459,1.7685556,20.0,7.7109375
gpt_neox.final_layer_norm.bias,142000,0.031390876,6.9984713,14.3515625,-13.0,6.55659,2.4303458,14.3515625,0.0033073425
gpt_neox.final_layer_norm.bias,143000,0.031102464,7.087855,14.453125,-13.09375,6.648701,2.4386303,14.453125,0.0049819946
embed_out.weight,142000,-3.9163588e-05,0.11362005,0.3857422,-0.3395996,0.10770797,0.036173325,0.3857422,0.0
embed_out.weight,143000,-4.8688806e-05,0.11448678,0.3857422,-0.33911133,0.10864864,0.03609287,0.3857422,0.0
