parameter,step,mean,std,maximum,minimum,abs_mean,abs_std,abs_maximum,abs_minimum
gpt_neox.layers.4.input_layernorm.bias,142000,0.3882233,0.82622015,3.0859375,-3.5546875,0.70404965,0.5805136,3.5546875,0.0037574768
gpt_neox.layers.4.input_layernorm.bias,143000,0.39031383,0.8300172,3.1015625,-3.5703125,0.70740676,0.58323926,3.5703125,0.0049438477
gpt_neox.layers.4.post_attention_layernorm.weight,142000,1.5717478,0.16374388,2.609375,0.76904297,1.5717478,0.16374388,2.609375,0.76904297
gpt_neox.layers.4.post_attention_layernorm.weight,143000,1.5740414,0.1637903,2.6132812,0.77246094,1.5740414,0.1637903,2.6132812,0.77246094
gpt_neox.layers.4.post_attention_layernorm.bias,142000,0.032473557,0.2873506,1.2197266,-1.5292969,0.22984426,0.17520048,1.5292969,0.00019574165
gpt_neox.layers.4.post_attention_layernorm.bias,143000,0.03259909,0.28792354,1.2207031,-1.5263672,0.23036517,0.17547877,1.5263672,8.845329e-05
gpt_neox.layers.4.attention.query_key_value.weight,142000,-9.31083e-05,0.20605496,2.6328125,-2.9921875,0.08958503,0.18556176,2.9921875,5.9604645e-08
gpt_neox.layers.4.attention.query_key_value.weight,143000,-0.00010015775,0.20566759,2.6328125,-2.9863281,0.08937874,0.1852312,2.9863281,5.9604645e-08
gpt_neox.layers.4.attention.query_key_value.bias,142000,0.56658816,20.717325,61.96875,-62.78125,10.23096,18.021877,62.78125,6.979704e-05
gpt_neox.layers.4.attention.query_key_value.bias,143000,0.56747925,20.748924,62.03125,-62.84375,10.2474575,18.048859,62.84375,3.0636787e-05
gpt_neox.layers.4.attention.dense.weight,142000,-7.543025e-06,0.016520107,0.109558105,-0.10394287,0.013019737,0.010168568,0.109558105,0.0
gpt_neox.layers.4.attention.dense.weight,143000,-7.997169e-06,0.016490718,0.109436035,-0.10449219,0.012995338,0.010152063,0.109436035,5.9604645e-08
gpt_neox.layers.4.attention.dense.bias,142000,-0.0002312928,0.099204674,1.1738281,-0.86279297,0.064643964,0.075197086,1.1738281,4.374981e-05
gpt_neox.layers.4.attention.dense.bias,143000,-0.00023350678,0.099057354,1.171875,-0.8618164,0.06454783,0.075085536,1.171875,3.08156e-05
gpt_neox.layers.4.mlp.dense_h_to_4h.weight,142000,0.00026471404,0.02924147,0.2607422,-0.21655273,0.022990786,0.018070888,0.2607422,1.1920929e-07
gpt_neox.layers.4.mlp.dense_h_to_4h.weight,143000,0.00026185834,0.029170204,0.26123047,-0.21582031,0.022936594,0.018024469,0.26123047,0.0
gpt_neox.layers.4.mlp.dense_h_to_4h.bias,142000,-0.09604071,0.15386994,0.91308594,-1.0029297,0.13544221,0.12062641,1.0029297,0.00015437603
gpt_neox.layers.4.mlp.dense_h_to_4h.bias,143000,-0.09607307,0.15405552,0.9135742,-1.0029297,0.13558014,0.12073398,1.0029297,1.0192394e-05
gpt_neox.layers.4.mlp.dense_4h_to_h.weight,142000,-5.658825e-06,0.03112885,0.6748047,-0.80029297,0.023794541,0.020070491,0.80029297,0.0
